゛,Lv	⺀
女勹冫,SmSnLv	㚬
女尤,SmGh	㚭
女冖几,SmErPs	㚮
女几乂,SmPsOs	㚯
女不一,SmCiFh	㚰
女一,SmOzFh	㚱
女⺊口,SmDhIq	㚲
女力口,SmAuIq	㚳
女𠂇巾,SmGlUw	㚴
女夂゛,SmJtLv	㚵
女㠯,SmUs	㚶
女人小,SmSiOt	㚷
女𠃌一口,SmPvFhIq	㚸
女卯,SmFm	㚹
女乃子,SmViYd	㚺
田女,SlSm	㚻
女田,SmSl	㚼
工一ㄅ女,NvFhPvSm	㚽
女口儿,SmIqAh	㚾
女勹巳,SmSnDu	㚿
女⺈彐,SmRlSi	㛀
女干丷,SmLrVy	㛁
女⺁巴,SmOyEw	㛂
丰刀女,ZhKgSm	㛃
女衣,SmOr	㛄
女耳,SmQg	㛅
女乃木,SmViAj	㛆
女广土,SmGpBm	㛇
女耂一ㄅ,SmRiFhPv	㛈
女西,SmQp	㛉
女几木,SmPsAj	㛊
女人⺗,SmSiNg	㛋
女厶牛,SmNdLz	㛌
女大人人,SmXiSiSi	㛍
女吕,SmNf	㛎
女一氺丶,SmFhHgOe	㛏
女{凬字心},SmTeOs	㛐
歺又女,QmWiSm	㛑
女豆,SmEi	㛒
女㐅𠂇巾,SmOsGlUw	㛓
女夂丰,SmJtZh	㛔
女口巴,SmIqEw	㛕
女厶八夂,SmNdVyJt	㛖
女人人土,SmSiSiBm	㛗
女十冖子,SmGlErYd	㛘
女辛,SmJt	㛙
女龴用,SmNdQl	㛚
女身,SmLc	㛛
亻丨攵女,KjKsRySm	㛜
女貝,SmIc	㛝
女王廾,SmGiWh	㛞
女⺈冂大,SmRlZvXi	㛟
女门日,SmBoJe	㛠
女宀二儿,SmErRlAh	㛡
女禾乃,SmZpVi	㛢
女口贝,SmIqDj	㛣
女一,SmFhMdMd	㛤
女水曰,SmHgRl	㛥
女木木,SmAjAj	㛦
女山石,SmDsQq	㛧
女⺶乚,SmIdPv	㛨
女⺝,SmPdMd	㛩
女大日乚,SmXiJePv	㛪
女日勹,SmJeSnBl	㛫
女土八土,SmBmVyBm	㛬
女龷日,SmXkJe	㛭
女宀火又,SmErYvWi	㛮
女儿力,SmZhAhAu	㛯
女民日,SmNsJe	㛰
女田一,SmSlFhOr	㛱
女頁,SmWv	㛲
冖巾女,YqErUwSm	㛳
女巛丿龱,SmJvCkLw	㛴
女爫冂土,SmToZvBm	㛵
女山𠂇火,SmDsGlYv	㛶
禾尤女,ZpGhSm	㛷
女壴,SmHs	㛸
女亻{凬字心},SmKjTeOs	㛹
女音,SmAr	㛺
女大土土,SmXiBmBm	㛻
女千臼,SmHcWi	㛼
女宀米,SmErMg	㛽
女戊一口,SmUcFhIq	㛾
女卅冖巾,SmFhErUw	㛿
女木目,SmAjGy	㜀
女木日一,SmAjJeFh	㜁
土土寸女,BmBmLwSm	㜂
女亻言,SmKjMe	㜃
女風,SmUy	㜄
女亠幺田,SmUeBlSl	㜅
女米辶,SmMgLt	㜆
女土土心,SmBmBmNg	㜇
予丿夂力女,MaCkJtSm	㜈
女巛口巴,SmJvIqEw	㜉
女尸龷,SmMzXkOr	㜊
女皿,SmHgBk	㜋
{彀字框无一}一女,VsFhSm	㜌
女广肀口,SmGpUaIq	㜍
女爫幺大,SmToBlXi	㜎
女口貝,SmIqIc	㜏
女山豆,SmDsEi	㜐
氵甫女,HgGnSm	㜑
女臼廾,SmWiWh	㜒
女艹亼口,SmWhTuIq	㜓
女立口儿,SmYqIqAh	㜔
女車辶,SmJlLt	㜕
女一曲日,SmFhRwJe	㜖
女厶厶厶人彡,SmNdNdBl	㜗
女虍且,SmQbRh	㜘
女鹿,SmCu	㜙
女宀亻一白,SmErKjDy	㜚
女車欠,SmJlFy	㜛
女敖,SmTk	㜜
女亽ヿ酉,SmTuPvTi	㜝
車斤女,JlOzSm	㜞
女ヿ耳攵,SmPvQgRy	㜟
女山隹,SmDsVh	㜠
女彳人人龰,SmJbSiLd	㜡
女口丨女,SmSfIqSm	㜢
女犬灬,SmMdLeYv	㜣
女覀日十,SmQpJeGl	㜤
女罒貝,SmYtIc	㜥
女彐工口寸,SmSiNvLw	㜦
女厂䒑欠,SmOyVyFy	㜧
女尸氺牛,SmMzHgLz	㜨
女丿冂米大,SmCkZvXi	㜩
立木斤女,YqAjOzSm	㜪
女{微框}几,SmYaPs	㜫
女⺈厂八言,SmRlOyMe	㜬
女田,SmXySl	㜭
女臣皿,SmDzZiBk	㜮
女巳灬,SmDzDuYv	㜯
女白幺幺木,SmDyBlAj	㜰
女斤斤貝,SmOzOzIc	㜱
女{赢框}女,SmOrSm	㜲
女衣罒水,SmOrYtHg	㜳
女艹罒冖目,SmWhYtGy	㜴
女衣馬,SmOrGb	㜵
女匕匕兔,SmZhHsZh	㜶
弓一女,OdFhKtSm	㜷
艹丿㠯辛女,WhCkUsSm	㜸
女目目隹,SmGyGyVh	㜹
女⺧儿⺧儿貝,SmLzAhIc	㜺
女言糹糹心,SmMeHtNg	㜻
女田田田冖且,SmSlSlRh	㜼
巛子,JvYd	㜽
子人,YdSiKg	㜾
子予,YdMa	㜿
母子,QtYd	㝀
勹日子,SnJeYd	㝁
子扌斤,YdPcOz	㝂
子儿,YdZhAh	㝃
子一,WnYdFhIa	㝄
{彀字框无一}一子,VsFhYd	㝅
子壴口,YdHsIq	㝆
子子,WnYdWnYd	㝇
言糹糹子子,MeHtHtYd	㝈
宀一,ErFh	㝉
宀又,ErWi	㝊
宀了,ErFu	㝋
宀㇏,ErRlOe	㝌
宀一ㄅ一,ErFhPvFh	㝍
宀之,ErDo	㝎
宀人,ErSiKg	㝏
穴厶,ZiNd	㝐
宀方,ErMx	㝑
宀古,ErQm	㝒
宀亼口,ErTuIq	㝓
宀六乂,ErCaOs	㝔
宀心又,ErNgWi	㝕
宀夕夕,ErXuXu	㝖
宀丶艮,ErOeTp	㝗
宀言,ErMe	㝘
宀王,ErGiVy	㝙
宀丿止廴,ErCkLdVv	㝚
宀亻一囗人,ErKjFhSi	㝛
宀龷日,ErXkJe	㝜
宀木木,ErAjAj	㝝
宀一,ErFhWu	㝞
宀一見,ErFhSc	㝟
宀日六,ErJeCa	㝠
宀耳又,ErQgWi	㝡
宀丿口⽱,ErCkIqFj	㝢
宀丰刀大,ErZhKgXi	㝣
宀井王冂,ErBzGiZv	㝤
宀爿米,ErNbMg	㝥
宀隹乃,ErVhVi	㝦
宀女人人土,ErSmSiBm	㝧
宀土口𧘇,ErBmIqOr	㝨
宀广氺,ErGpSiHg	㝩
宀土丸,ErBmIdTk	㝪
宀阝夂一生,ErTjJtDh	㝫
宀丰口夫,ErZhIqSv	㝬
宀忄日生,ErNgJeDh	㝭
宀屮凵示又,ErIaZvWi	㝮
宀丿大口冂口,ErCkXiIq	㝯
宀自穴方,ErCjZiMx	㝰
宀爿艹罒冖夕,ErNbWhXu	㝱
宀爿卝罒冖彐冖巾,ErNbWhUw	㝲
一⺗,FhNg	㝳
二儿寸,RlAhLw	㝴
日一寸,JeFhLw	㝵
罒儿寸,YtAhLw	㝶
彐工丸寸,SiNvTkLw	㝷
小白儿,OtDyAh	㝸
小丿兔,OtCkZh	㝹
䒑小丿,VySiYvCk	㝺
廿口龶小丿,XkIqZhCk	㝻
尢一𬺰,GhFhGl	㝼
尢水,GhHg	㝽
尢𠂇工,GhGlNv	㝾
尢皮,GhEm	㝿
尢𠂇火,GhGlYv	㞀
尢日匕,GhJeHs	㞁
尢爫女,GhToSm	㞂
谷尤,PuGh	㞃
尢大日乚,GhXiJePv	㞄
尢田木,GhSlAj	㞅
尢大可,GhXiZj	㞆
尢田一,GhSlFhOr	㞇
尢户𠕁,GhFkJz	㞈
尢⺶工,GhIdNv	㞉
屮凵示尢,IaZvDdGh	㞊
尸又,MzWi	㞋
尸子,MzYd	㞌
尸丸,MzTk	㞍
尸巴,MzEw	㞎
尸丿之,MzCkDo	㞏
尸立,MzYq	㞐
尸冫⺃,MzLvLvPv	㞑
尸自,MzCj	㞒
尸匕日,MzHsJe	㞓
尸夕夕,MzXuXu	㞔
尸八⺝,MzVyMd	㞕
尸木冂,MzAjZv	㞖
尸一氺丶,MzFhHgOe	㞗
尸豕丶,MzKtOe	㞘
尸毛水,MzOuHg	㞙
尸千臼,MzHcWi	㞚
尸彳匕日,MzJbHsJe	㞛
尸彳禾女,MzJbZpSm	㞜
戊⺊一小尸,UcDhFhMz	㞝
尸彳人人龰,MzJbSiLd	㞞
尸丷酉大,MzVyTiXi	㞟
尸大丷日小,MzXiVyOt	㞠
尸工工工工𧘇,MzNvNvOr	㞡
屮一,IaFh	㞢
屮八刀,IaVyKg	㞣
山人,DsSi	㞤
山入,DsXj	㞥
山几,DsPs	㞦
山乃,DsVi	㞧
山子,DsYd	㞨
山几丶,DsPsOe	㞩
山,SiDs	㞪
山之,DsDo	㞫
山工,DsNv	㞬
大山,XiDs	㞭
山⺈丶,DsRlOe	㞮
己山,JcDs	㞯
山𠂉十,DsLdGl	㞰
山日,DsJe	㞱
山口丨,DsIqKs	㞲
山斗,DsPf	㞳
山氏,DsQu	㞴
山文,DsWm	㞵
山文,DsWm	㞶
屮王,IaGi	㞷
山不,DsCi	㞸
山可,DsZj	㞹
山矢,DsEu	㞺
山口一ㄅ,DsIqFhPv	㞻
乛水山,PvHgDs	㞼
山戉,DsUc	㞽
山尸匕,DsMzHs	㞾
山土㐅,DsBmOs	㞿
禾山,ZpDs	㟀
山厂干,DsOyLr	㟁
山母,DsQt	㟂
山𠃌一口,DsPvFhIq	㟃
山羊,DsId	㟄
山㐅凵儿,DsOsZvAh	㟅
山亻匕十,DsKjHsGl	㟆
山人人土,DsSiSiBm	㟇
山一氺丶,DsFhHgOe	㟈
山宀牛,DsErLz	㟉
山爫子,DsToYd	㟊
山丷口儿,DsVyIqAh	㟋
山龙,DsJhBl	㟌
山丶艮,DsOeTp	㟍
山爫女,DsToSm	㟎
山亽ヿ口,DsTuPvIq	㟏
山艹亡,DsWhXc	㟐
山十冖子,DsGlErYd	㟑
山丿口,DsSiCkIq	㟒
山㐅𠂇巾,DsOsGlUw	㟓
山亽ヿ口,DsTuPvIq	㟔
山口斗,DsIqPf	㟕
山王廾,DsGiWh	㟖
山八刀八刀,DsVyKgKg	㟗
山⺆土口,DsZvBmIq	㟘
山龷日,DsXkJe	㟙
木支山,AjBhDs	㟚
山扌甘,DsPcMz	㟛
山弓⺈小,DsOdRlOt	㟜
山立口,DsYqIq	㟝
山戈戈,DsIeIe	㟞
山龷八巳,DsXkVyDu	㟟
山冂䒑山,DsZvVyDs	㟠
山丷夫⺋,DsVySvWj	㟡
山大可,DsXiZj	㟢
山木八厶,DsAjVyNd	㟣
山氺,DsSiHg	㟤
山厶大彡,DsNdXiBl	㟥
山冖車,DsErJl	㟦
山吅二ㄅ,DsRuRlPv	㟧
山山而,DsDsUa	㟨
民攵山,NsRyDs	㟩
山田一,DsSlFhOr	㟪
山白水,DsDyHg	㟫
山臼丨又,DsWiKsWi	㟬
山民日,DsNsJe	㟭
山穴犬,DsZiLe	㟮
山宀各,DsErQy	㟯
山冖日六,DsErJeCa	㟰
山⺷灬,DsIdYv	㟱
山厂白小,DsOyDyOt	㟲
山覀木,DsQpAj	㟳
山鬼,DsBy	㟴
山罒一止,DsYtFhLd	㟵
山厂白小,DsOyDyOt	㟶
山艹亼口,DsWhTuIq	㟷
山白大十,DsDyXiGl	㟸
山耳卯,DsQgFm	㟹
山口丨女,DsSfIqSm	㟺
車斤山,JlOzDs	㟻
山敖,DsTk	㟼
山覀示,DsQpDd	㟽
山广肀用,DsGpUaQl	㟾
山艹犬廾,DsWhLeWh	㟿
鳥山,TlDs	㠀
山厶厶厶人彡,DsNdNdBl	㠁
山敖,DsTk	㠂
山冂古,DsYqZvQm	㠃
山羽白,DsEhDy	㠄
山彳𠂉日夂,DsJbLdJt	㠅
山吅田十,DsRuSlGl	㠆
山小尤,DsWnOtGh	㠇
山門王,DsAcGi	㠈
山立里,DsYqDn	㠉
山虍业,DsQbOq	㠊
山口吅二ㄅ,DsIqRuPv	㠋
山欠,DsMzVyFy	㠌
山隹木,DsVhAj	㠍
山隹木,DsVhAj	㠎
山艹艹,DsWhPcWh	㠏
山丿大口冂口,DsCkXiIq	㠐
山罒非,DsYtDm	㠑
山覀示刂,DsQpDdKg	㠒
山艹冖一豕,DsWhErKt	㠓
山辟,DsRk	㠔
山阝鬼,DsTjBy	㠕
山⺷丿扌,DsIdCkIe	㠖
山丿冂米大,DsCkZvXi	㠗
山一ㄅ丨,DsWiFhVy	㠘
山豕,DsWnKt	㠙
山业⺷寸,DsOqIdLw	㠚
山艹隹又,DsWhVhWi	㠛
山匕矢龴疋,DsHsEuKf	㠜
山夫夫貝,DsSvSvIc	㠝
{微框}王山,YaGiDs	㠞
山禾人氺,DsZpKgHg	㠟
山虍田皿,DsQbSlBk	㠠
山衣馬,DsOrGb	㠡
山鬼衣,DsByOr	㠢
山厂禾禾止,DsOyZpLd	㠣
山衣吅井一,DsOrRuFh	㠤
山田田田土,DsSlSlBm	㠥
山山丰丰豆,DsDsZhEi	㠦
山麻非,DsOnDm	㠧
山木乂乂木罒寸,DsAjOsLw	㠨
亾,XcJv	㠩
工一,NvFh	㠪
工几丶夫,NvPsOeSv	㠫
工口夫,NvIqSv	㠬
工工工工,NvNvNvNv	㠭
䒑业日工,VyOqJeNv	㠮
㠯,Us	㠯
力口己,AuIqJc	㠰
己,JcMzVy	㠱
巾匕,UwHs	㠲
入巾,XjUw	㠳
巾刀丶,UwKgOe	㠴
亡巾,XcUw	㠵
巾丿几,UwCkPs	㠶
巾及,UwKd	㠷
巾夫,UwSv	㠸
巾人,UwSiKg	㠹
巾小丿,UwOtCk	㠺
耂巾,RiUw	㠻
巾斤,UwOz	㠼
巾夂゛,UwJtLv	㠽
夕⺋巾,XuWjUw	㠾
止匕巾,LdHsUw	㠿
㡀,Kt	㡀
巾大二ㄅ,UwXiRlPv	㡁
歹刂巾,QmKgUw	㡂
巾亾,UwXcJv	㡃
巾勹日,UwSnJe	㡄
巾夕夕,UwXuXu	㡅
巾亡,UwXcJv	㡆
巾耳㇗,UwQgPv	㡇
巾儿,UwZhAh	㡈
巾弓亠幺,UwOdUeBl	㡉
巾⺈臼,UwRlWi	㡊
巾大日乚,UwXiJePv	㡋
巾⺜⺝,UwJeMd	㡌
白大巾,DyXiUw	㡍
巾厶大彡,UwNdXiBl	㡎
巾亼⺝刂,UwTuMdKg	㡏
巾䒑⺝刂,UwVyMdKg	㡐
禾火巾,ZpYvUw	㡑
巾⺁十目,UwOyGlGy	㡒
巾冖車,UwErJl	㡓
予丿攵巾,MaCkRyUw	㡔
巾艹冂大,UwWhZvXi	㡕
巾千里,UwHcDn	㡖
巾⺁虎,UwOyQb	㡗
巾䒑,UwVySiYv	㡘
巾丿龱匕,UwCkLwHs	㡙
巾井王冂,UwBzGiZv	㡚
巾艹亡,UwWhXcJv	㡛
巾示,UwVyDd	㡜
巾夂丰辶,UwJtZhLt	㡝
巾口丨女,UwSfIqSm	㡞
巾一曲日,UwFhRwJe	㡟
巾癶豆,UwVyEi	㡠
巾厂豆寸,UwOyEiLw	㡡
巾日罒一,UwJeYtKg	㡢
冖巾立⺝{龍字边},YqErUwIa	㡣
巾业䒑未,UwOqVyJx	㡤
巾爫工彐心,UwToNvNg	㡥
巾宀一貝,UwErFhIc	㡦
巾穴癶豆,UwZiVyEi	㡧
巾人人戈非一,UwSiSiFh	㡨
言糹糹巾,MeHtHtUw	㡩
巾爫尸〢止巳夂,UwToMzJt	㡪
幺日勹亾,BlJeSnXc	㡫
幺幺戈,BlBlIeKg	㡬
幺幺一幺幺㇗,BlBlFhPv	㡭
幺幺戈人气,BlBlIeFq	㡮
广丿七,GpCkLn	㡯
广一𬺰,GpFhGl	㡰
广㇏,GpRlOe	㡱
广戈,GpIe	㡲
广氏,GpQu	㡳
广立,GpYq	㡴
广亽龴,GpTuNd	㡵
广口八,GpIqVy	㡶
广木一,GpAjFh	㡷
广乍,GpEl	㡸
广且,GpRh	㡹
广日一,GpJeFh	㡺
广卯,GpFm	㡻
广日㇂丿,GpJePvCk	㡼
广聿,GpUa	㡽
广艮,GpTp	㡾
广䒑,GpVyIa	㡿
广木冂,GpAjZv	㢀
广夕夕,GpXuXu	㢁
广丿㠯,GpCkUs	㢂
广丶艮,GpOeTp	㢃
广豆,GpEi	㢄
广王廾,GpGiWh	㢅
广里,GpDn	㢆
广言,GpMe	㢇
广隹,GpVh	㢈
广禾丿七,GpZpCkLn	㢉
广大可,GpXiZj	㢊
广亻夕夕,GpKjXuXu	㢋
广阝可,GpTjZj	㢌
广艹冂大,GpWhZvXi	㢍
广千臼,GpHcWi	㢎
广亼⺝刂,GpTuMdKg	㢏
广冎口,GpFvIq	㢐
广隹十,GpVhGl	㢑
广虍且,GpQbRh	㢒
广音十,GpArGl	㢓
广彳人人龰,GpJbSiLd	㢔
广乡隹,GpFfVh	㢕
广丿米田,GpCkMgSl	㢖
广丿大口冂口,GpCkXiIq	㢗
广䒑〢灬,GpVySiYv	㢘
广廿口龶力,GpXkIqAu	㢙
广虍田力,GpQbSlAu	㢚
广僉,GpOr	㢛
广廿田心,GpXkSlNg	㢜
广魚禾,GpXlZp	㢝
广羽田龷八,GpEhSlVy	㢞
止廴,LdVv	㢟
冂口廴,ZvIqVv	㢠
爿寸廾,NbMdLwWh	㢡
尚攵廾,XyRyWh	㢢
艹句攵廾,WhTqRyWh	㢣
十弋刀,GlNdKg	㢤
冂一口弋,ZvFhIqNd	㢥
可可弋,ZjZjNd	㢦
弓一,OdFh	㢧
弓干,OdLr	㢨
弓勹丶,OdSnOe	㢩
弓二ㄅ,OdRlPv	㢪
弓山,OdDs	㢫
弓𠂇厶,OdGlNd	㢬
弓攴,OdRy	㢭
弓𠂉也,OdLdHe	㢮
弓民,OdNs	㢯
弓皮,OdEm	㢰
弓厶小,OdNdOt	㢱
弓弓,OdOdVy	㢲
弓𠂉,OdLdOr	㢳
弓丿,OdCkLw	㢴
弓亼口,OdTuIq	㢵
弓一白,OdFhDy	㢶
弓山夕,OdDsXu	㢷
弓弓攵,OdOdRy	㢸
弓辛,OdJt	㢹
弓立女,OdYqSm	㢺
弓禾女,OdZpSm	㢻
弓㡀,OdKt	㢼
弓耳弓,OdQgOd	㢽
弓覀土,OdQpBm	㢾
弓亻矢,OdKjEhEu	㢿
弓十目,OdGlGyVy	㣀
弓龷丿用,OdXkCkQl	㣁
弓鬲,OdPw	㣂
弓⺝弓,OdPdMdOd	㣃
弓氵匚コ木,OdHgEhAj	㣄
弓旡旡日,OdUeUeJe	㣅
弓一王,OdFhKtGi	㣆
彑巾,SiBlUw	㣇
彑巾彑巾,SiBlUwUw	㣈
工彡,NvBl	㣉
夂彡,JtBl	㣊
井丶彡,BzOeBl	㣋
⺊口彡,DhIqBl	㣌
厶口彡,NdIqBl	㣍
白小彡,DyOtBl	㣎
大日十彡,XiJeGlBl	㣏
白水彡,DyHgBl	㣐
广肀用彡,GpUaQlBl	㣑
丷囗⺌日彡,VyUdOtBl	㣒
歺又米彡,QmWiMgBl	㣓
彳丁,JbUe	㣔
彳大,JbXi	㣕
彳大丶,JbXiOe	㣖
彳户,JbFk	㣗
彳句,JbTq	㣘
彳由,JbIs	㣙
彳冂一口,JbZvFhIq	㣚
彳亼口,JbTuIq	㣛
彳一廾刂,JbFhWhKg	㣜
彳戈𠂇,JbIeGl	㣝
彳八厶儿,JbVyNdAh	㣞
彳士口,JbMfIq	㣟
彳丨夂゛,JbKsJtLv	㣠
彳亻口丨,JbKjIqKs	㣡
彳丷𢎨,JbVyUv	㣢
彳大入入,JbXiXjXj	㣣
彳戈戈,JbIeIe	㣤
彳亻土寸,JbKjBmLw	㣥
彳禾女,JbZpSm	㣦
彳幺⺝乚,JbBlMdPv	㣧
彳女古,JbSmQm	㣨
彳木木,JbAjAj	㣩
彳爫一𠂇又,JbToFhWi	㣪
彳千里,JbHcDn	㣫
彳口耳,JbIqQg	㣬
彳㐅凵八夂,JbOsZvJt	㣭
彳十冂,JbGlZvId	㣮
彳尸⺌⺝,JbMzOtMd	㣯
彳丿米心,JbCkMgNg	㣰
彳龶貝,JbZhIc	㣱
{微框}口,YaIq	㣲
彳𠂉卌一灬,JbLdDsYv	㣳
彳黄,JbBx	㣴
彳土羊辶,JbBmIdLt	㣵
彳亠囗口日一,JbUeUdFh	㣶
彳宀心皿丁,JbErNgUe	㣷
彳豕生,JbYvKtDh	㣸
彳广亻隹心,JbGpKjNg	㣹
⺗,Ng	㣺
乂心,OsNg	㣻
忄刀丶,NgKgOe	㣼
女心,SmNg	㣽
忄又丶,NgWiOe	㣾
忄勹丶,NgSnOe	㣿
兦心,XcNg	㤀
一大心,FhXiNg	㤁
及心,KdNg	㤂
忄方,NgMx	㤃
忄一巾,NgFhUw	㤄
旡心,UeNg	㤅
忄⺁又,NgOyWi	㤆
忄丿大,NgCkXi	㤇
忄心,NgNg	㤈
忄牙,NgYb	㤉
忄乂乂,NgOsOs	㤊
忄八刀,NgVyKg	㤋
忄甘,NgMz	㤌
工一ㄅ心,NvFhPvNg	㤍
力口心,AuIqNg	㤎
忄夂゛,NgJtLv	㤏
⺊口心,DhIqNg	㤐
忄𠂇口,NgGlIq	㤑
忄大十,NgXiGl	㤒
忄木一,NgAjFh	㤓
忄亻寸,NgKjLw	㤔
忄屮凵,NgIaZv	㤕
忄宀丁,NgErUe	㤖
㇏⺗,ZhOeNg	㤗
忄⺈彐,NgRlSi	㤘
囗コ心,UdEhNg	㤙
忄行,NgFj	㤚
忄亻丿士,NgKjCkMf	㤛
忄戊丶,NgUcOe	㤜
忄儿,NgPdAh	㤝
忄宀丿七,NgErCkLn	㤞
曲心,RwNg	㤟
歹刂心,QmKgNg	㤠
忄歹刂,NgQmKg	㤡
忄𠂇⺝,NgGlMd	㤢
䒑廾心,VyWhNg	㤣
忄日,NgJeOs	㤤
忄亥,NgYg	㤥
忄一口,NgFhIqOs	㤦
忄⺁一口,NgOyFhIq	㤧
忄龷八,NgXkVy	㤨
各心,QyNg	㤩
一夕⺋心,FhXuWjNg	㤪
𠂇⺝心,GlMdNg	㤫
忄土土,NgBmBm	㤬
忄丿大,NgCkXiKg	㤭
犭王心,LeGiNg	㤮
忄冂八口,NgZvVyIq	㤯
亻乍心,KjElNg	㤰
忄豆,NgEi	㤱
大人人心,XiSiSiNg	㤲
忄不口,NgCiIq	㤳
忄耳㇗,NgQgPv	㤴
子攵心,YdRyNg	㤵
忄龙,NgJhBl	㤶
忄亽ヿ口,NgTuPvIq	㤷
忄土,NgBmYv	㤸
忄一氺丶,NgFhHgOe	㤹
忄亡,NgXcJv	㤺
卵心,TlNg	㤻
忄土厶力,NgBmNdAu	㤼
忄寸,NgZhLw	㤽
忄冖八木,NgErVyAj	㤾
忄大日乚,NgXiJePv	㤿
忄十目一,NgGlGyFh	㥀
十罒㇗心,GlYtPvNg	㥁
忄日一寸,NgJeFhLw	㥂
忄門,NgAc	㥃
忄土八夂,NgBmVyJt	㥄
忄爫冖又,NgToErWi	㥅
忄氺,NgSiHg	㥆
忄戈戈,NgIeIe	㥇
巾⺊口心,UwDhIqNg	㥈
忄立口,NgYqIq	㥉
忄月月,NgMdMd	㥊
亻衣心,KjOrNg	㥋
忄勹米,NgSnMg	㥌
忄,NgMzVy	㥍
禾心,ZpKgNg	㥎
忄𠕁,NgJzVy	㥏
亼口卩心,TuIqWjNg	㥐
心,WvNg	㥑
忄爫木,NgToAj	㥒
忄大可,NgXiZj	㥓
忄⺝,NgPdMd	㥔
火火心,YvYvNg	㥕
⺆亠八厶心,ZvUeVyNg	㥖
忄日文,NgJeWm	㥗
忄土厶刀丶,NgBmNdOe	㥘
忄口丨心,NgIqKsNg	㥙
忄臼人,NgWiSi	㥚
忄了口又一,NgFuIqFh	㥛
忄田⺝,NgSlMd	㥜
忄弓耳,NgOdQg	㥝
忄丷豕,NgVyKt	㥞
忄彑,NgSiKt	㥟
忄疋⺝,NgKfMd	㥠
忄尸匕木,NgMzHsAj	㥡
忄丷酉,NgVyTi	㥢
大土土心,XiBmBmNg	㥣
予丿亽ヿ心,MaCkTuNg	㥤
忄田⽱,NgSlFj	㥥
匚大人人心,EhXiSiNg	㥦
忄頁,NgWv	㥧
女土土心,SmBmBmNg	㥨
忄耂日,NgRiJe	㥩
忄米女,NgMgSm	㥪
忄日,NgWnJe	㥫
忄冖方,NgYqErMx	㥬
忄㇏氺,NgZhOeHg	㥭
忄勹勹,NgSnIaIa	㥮
爫工彐心,ToNvSiNg	㥯
忄臼丨又,NgWiKsWi	㥰
忄匚非,NgEhDm	㥱
十目心,GlGyVyNg	㥲
忄厂白小,NgOyDyOt	㥳
忄⺁虎,NgOyQb	㥴
忄囗豕,NgUdKt	㥵
宀井心,ErBzVyNg	㥶
广大人人心,GpXiSiNg	㥷
民田心,NsSlNg	㥸
米八刀心,MgVyKgNg	㥹
忄土厶皿,NgBmNdBk	㥺
戊禾心,UcZpNg	㥻
忄一止一ㄅ灬,NgFhLdYv	㥼
忄龶貝,NgZhIc	㥽
忄匚艹𠂇口,NgEhWhIq	㥾
敖心,TkNg	㥿
忄夂丰辶,NgJtZhLt	㦀
車辶心,JlLtNg	㦁
巾心,XyUwNg	㦂
忄厂生,NgYqOyDh	㦃
麻心,OnNg	㦄
忄冖巾,NgDsErUw	㦅
忄虍丿丷𬺰,NgQbCkGl	㦆
忄鹿,NgCu	㦇
忄⺷皿,NgIdBk	㦈
忄士冖豆,NgMfErEi	㦉
忄艹艹,NgWhPcWh	㦊
忄大耂日,NgXiRiJe	㦋
毛毛毛心,OuOuOuNg	㦌
忄吅䒑,NgRuVyIa	㦍
忄田一,NgUaSlFh	㦎
忄巳巳龷八,NgDuDuVy	㦏
忄弋二貝,NgNdRlIc	㦐
忄ヿ耳攵,NgPvQgRy	㦑
忄罒言,NgYtMe	㦒
忄犬灬,NgMdLeYv	㦓
日月犬心,JeMdLeNg	㦔
忄阝夂一生,NgTjJtDh	㦕
忄門心,NgAcNg	㦖
忄木木示,NgAjAjDd	㦗
白方攵心,DyMxRyNg	㦘
忄田⽱心,NgSlFjNg	㦙
心辛,JtNgJt	㦚
一ㄅ丨心,WiFhPvNg	㦛
忄艹隹又,NgWhVhWi	㦜
豸白儿心,LzDyAhNg	㦝
士乛工一口寸心,MfPvNvNg	㦞
豸里心,LzDnNg	㦟
忄业⺷寸,NgOqIdLw	㦠
忄白幺幺木,NgDyBlAj	㦡
忄⺮卩,NgZiTpWj	㦢
行韋心,FjIwNg	㦣
士冖豆欠心,MfErEiNg	㦤
忄宀丰罒心,NgErZhNg	㦥
忄門臼儿,NgAcWiAh	㦦
忄⺧儿⺧儿日,NgLzAhJe	㦧
忄門束丷,NgAcUhVy	㦨
忄阝爫工彐心,NgTjToNg	㦩
忄言火火又,NgMeYvWi	㦪
忄⺧儿⺧儿貝,NgLzAhIc	㦫
忄罒糹隹,NgYtHtVh	㦬
忄⻗口吅工人人,NgTfIqSi	㦭
二戈,RlIe	㦮
戈厶一,IeNdFh	㦯
人人戈,SiSiIe	㦰
一戈土,FhIeBm	㦱
十戈刀,GlIeKg	㦲
十戈土,GlIeBm	㦳
戈各,IeQy	㦴
丿未戈,CkJxIe	㦵
戈至,IeCy	㦶
龴用戈,NdQlIe	㦷
⺊日十戈,DhJeGlIe	㦸
日一勹戈,JeFhSnIe	㦹
辰寸戈,QnLwIe	㦺
羽白戈,EhDyIe	㦻
丶臼戈,ZhOeWiIe	㦼
𠂇⺝戈口一巛,GlMdIeJv	㦽
户也,FkHe	㦾
户木,FkAj	㦿
户及,FkKd	㧀
户土厶,FkBmNd	㧁
户田,FkSl	㧂
