⺀	(丶丶,OeOe,bīng_èr,部首補充)
㓡	(缶刂,UsKg,fǔ_guā,CJK-A)
㓢	(各刂,QyKg,luò,CJK-A)
㓣	(亼口刂,TuIqKg,qià_gē,CJK-A)
㓤	(士口刂,MfIqKg,qià,CJK-A)
㓥	(⺌彐刂,OtSiKg,tāng,CJK-A)
㓦	(一白刂,FhDyKg,bāi,CJK-A)
㓧	(亽ヿ口刂,TuPvIqKg,gān,CJK-A)
㓨	(大人人刂,XiSiSiKg,cí,CJK-A)
㓩	(⺈用刂,RlQlKg,xuān_jiē,CJK-A)
㓪	(丶刀,OeTpKg,lǎng,CJK-A)
㓫	(大一廾刂,XiFhWhKg,,CJK-A)
㓬	(丷夫刀刂,VySvKgKg,,CJK-A)
㓭	(日勹亾刂,JeSnXcKg,shé,CJK-A)
㓮	(⺆土口刂,ZvBmIqKg,diāo,CJK-A)
㓯	(巛田刂,JvSlKg,lí,CJK-A)
㓰	(一由凵刂,FhIsZvKg,huà,CJK-A)
㓱	(亼⺝刂刂,TuMdKgKg,tóu_shū,CJK-A)
㓲	(户𠕁刂,FkJzKg,piān,CJK-A)
㓳	(日疋刂,JeKfKg,dī,CJK-A)
㓴	(而大刂,UaXiKg,ruǎn,CJK-A)
㓵	(吅二ㄅ刂,RuRlPvKg,è,CJK-A)
㓶	(丰刀大刂,ZhKgXiKg,qiè,CJK-A)
㓷	(自木刂,CjAjKg,yì,CJK-A)
㓸	(刂,WuKg,zhuō_dōu,CJK-A)
㓹	(厂火火刂,OyYvYvKg,ruì_cuì_jì,CJK-A)
㓺	(虍文刂,QbWmKg,jiān_qián,CJK-A)
㓻	(罒一止刂,YtFhLdKg,,CJK-A)
㓼	(木人氺刂,AjSiHgKg,chì,CJK-A)
㓽	(山宀示刂,DsErDdKg,chóng,CJK-A)
㓾	(尸氺牛刂,MzHgLzKg,xī_chí,CJK-A)
㓿	(禾人氺刂,ZpSiHgKg,,CJK-A)
㔀	(日小刂,JeWnOtKg,lüè,CJK-A)
㔁	(癶豆刂,VyEiKg,dēng,CJK-A)
㔂	(米夕㐄刂,MgXuGjKg,lín,CJK-A)
㔃	(糹⺈巴刀,HtRlEwKg,jué_xuē,CJK-A)
㔄	(覀米刂,QpMgKg,sù,CJK-A)
㔅	(肀片爿一刂,UaNbNbKg,xiào,CJK-A)
㔆	(旡旡日刂,UeUeJeKg,zàn,CJK-A)
㔇	(癶弓殳刂,VyOdQiKg,,CJK-A)
㔈	(艹非刂,WhDmKg,,CJK-A)
㔉	(尸丿口⽱刂,MzCkIqKg,zhǔ,CJK-A)
㔊	(亠囗口日一刂,UeUdIqKg,zhǎn_dǎn,CJK-A)
㔋	(臣皿刂,DzZiBkKg,jiān_lán,CJK-A)
㔌	(耳又丿刂,QgWiCkKg,zòu_cǒu,CJK-A)
㔍	(⺮目廾刂,ZiGyWhKg,chuā_zhá,CJK-A)
㔎	(丿㠯辛刀,IaCkUsKg,xiè,CJK-A)
㔏	(石石石刂,QqQqQqKg,lì_luǒ,CJK-A)
㔐	(⺮一非一刂,ZiFhDmKg,,CJK-A)
㔑	(艹丿㠯辛刀,WhCkUsKg,chì,CJK-A)
㔒	(山隹冂八口刂,DsVhZvKg,xí,CJK-A)
㔓	(千力,HcAu,jiǎn,CJK-A)
㔔	(力口〇,AuIqIq,,CJK-A)
㔕	(气力,FqAu,jí,CJK-A)
㔖	(力口ヿ,AuIqPv,,CJK-A)
㔗	(弗力,UvAu,fèi_bèi_fú,CJK-A)
㔘	(屮凵力,IaZvAu,chù,CJK-A)
㔙	(䒑廾力,VyWhAu,bēng,CJK-A)
㔚	(舌力,VlAu,jié,CJK-A)
㔛	(士口力,MfIqAu,,CJK-A)
㔜	(爫子力,ToYdAu,bá,CJK-A)
㔝	(一巾入入力,FhUwXjAu,liǎng_liáng,CJK-A)
㔞	(千匕力,HcNbHsAu,kuài,CJK-A)
㔟	(生丸力,DhTkAu,,CJK-A)
㔠	(日勹亾力,JeSnXcAu,xiā_hé,CJK-A)
㔡	(丿龱匕力,CkLwHsAu,biē,CJK-A)
㔢	(糹⺈巴力,HtRlEwAu,jué_xuē,CJK-A)
㔣	(田田田力,SlSlSlAu,léi,CJK-A)
㔤	(宀丿米田力,ErCkMgAu,xìn,CJK-A)
㔥	(罒厶⺝匕力,YtNdMdAu,bài_pí,CJK-A)
㔦	(⺶㇏丶艮力,IdOeOeAu,yǎng,CJK-A)
㔧	(虍田皿力,QbSlBkAu,lǜ,CJK-A)
㔨	(勹匕⺝,SnNbHsMd,bèi,CJK-A)
㔩	(勹土厶皿,SnBmNdBk,è,CJK-A)
㔪	(勹⺊𱕻,SnDhLw,lǔ,CJK-A)
㔫	(𠂇匕,GlHs,,CJK-A)
㔬	(匕日十,HsJeGl,,CJK-A)
㔭	(日疋,HsJeKf,chè,CJK-A)
㔮	(廿口夫厶⺝匕,XkIqSvHs,nuó,CJK-A)
㔯	(匚几口,EhPsIq,xuán_suǎn,CJK-A)
㔰	(匚夕卜,EhXuDh,héng,CJK-A)
㔱	(匚臼人,EhWiSi,yǔ,CJK-A)
㔲	(匚飠九,EhOzDp,,CJK-A)
㔳	(匚飠几,EhOzPs,guǐ,CJK-A)
㔴	(匚田龷八,EhSlXkVy,yì,CJK-A)
㔵	(匚巳巳龷八,EhDuDuVy,xuǎn,CJK-A)
㔶	(匚音十夂工貝,EhArGlIc,gòng_gǎn,CJK-A)
㔷	(匚一冂人,EhFhZvSi,lòu,CJK-A)
㔸	(匚⺁虎,EhOyQb,tī,CJK-A)
㔹	(十力,GlAu,lè,CJK-A)
㔺	(十十⺃,GlGlPv,shì,CJK-A)
㔻	(不十,CiGl,,CJK-A)
㔼	(扌隹十,PcVhGl,sǔn,CJK-A)
㔽	(⺊囗口,DhUdIq,yào,CJK-A)
㔾	(㔾,Wj,xiān_jié,CJK-A)
㔿	(一丩,FhHt,zòu,CJK-A)
㕀	(由⺋,IsWj,,CJK-A)
㕁	(㐅𠂇厶卩,OsGlNdWj,què,CJK-A)
㕂	(厂亽ヿ,OyTuPv,yín_qín,CJK-A)
㕃	(厂一廾,OyFhWh,xī,CJK-A)
㕄	(厂一幺,OyFhBl,zhǐ,CJK-A)
㕅	(厂甲,OySt,jiá,CJK-A)
㕆	(厂古,OyQm,hù,CJK-A)
㕇	(厂立,OyYq,lā,CJK-A)
㕈	(厂衣,OyOr,yǐ,CJK-A)
㕉	(厂亼口,OyTuIq,kè,CJK-A)
㕊	(厂甫,OyGn,fū,CJK-A)
㕋	(厂金,OyTk,qín,CJK-A)
㕌	(厂日一寸,OyJeFhLw,ài,CJK-A)
㕍	(厂隹,OyVh,,CJK-A)
㕎	(厂土厶皿,OyBmNdBk,kè,CJK-A)
㕏	(厂豆斗,OyEiPf,chú,CJK-A)
㕐	(厂臼勹灬,OyWiSnYv,xiě_xiè,CJK-A)
㕑	(厂壴寸,OyHsLw,chú,CJK-A)
㕒	(厂⺷丿扌,OyIdCkIe,wēi,CJK-A)
㕓	(厂黑土,OyUcBm,,CJK-A)
㕔	(厂耳王十罒一心,OyQgGiNg,,CJK-A)
㕕	(厶厶,NdNd,huàn,CJK-A)
㕖	(厶厶厶木,NdNdNdAj,sù,CJK-A)
㕗	(⺷㇏厶,IdRlOeNd,yòu,CJK-A)
㕘	(厶厶厶人小,NdNdNdOt,,CJK-A)
㕙	(厶八夂兔,NdVyJtZh,jùn,CJK-A)
㕚	(又丶丶,WiOeOe,zhǎo,CJK-A)
㕛	(又又,WiWi,xù,CJK-A)
㕜	(口丨又,IqKsWi,shǐ,CJK-A)
㕝	(古又,QmWi,,CJK-A)
㕞	(尸巾又,MzUwWi,shuā,CJK-A)
㕟	(⺊𠕁又,DhJzWi,kuì_kuài,CJK-A)
㕠	(冫隹又,LvVhWi,shuāng,CJK-A)
㕡	(谷又,QmPuWi,hé,CJK-A)
㕢	(貝又,QmIcWi,gài_hài,CJK-A)
㕣	(八口,VyIq,yǎn,CJK-A)
㕤	(口九,IqDp,qiú,CJK-A)
㕥	(口人,IqSi,shēn,CJK-A)
㕦	(口大,IqXi,huà,CJK-A)
㕧	(口尸,IqMz,xī,CJK-A)
㕨	(口几丶,IqPsOe,fàn,CJK-A)
㕩	(口丰,IqZh,pàng,CJK-A)
㕪	(口冖儿,IqErAh,dǎn,CJK-A)
㕫	(口方,IqMx,fǎng_fēng,CJK-A)
㕬	(口八厶,IqVyNd,gōng_sòng,CJK-A)
㕭	(口丿大,IqCkXi,āo_ào,CJK-A)
㕮	(口八乂,IqVyOs,fǔ,CJK-A)
㕯	(冂人口,ZvSiIq,nè,CJK-A)
㕰	(口毛,IqOu,xuè_ma,CJK-A)
㕱	(口尤,IqGh,yóu,CJK-A)
㕲	(口木,IqAj,huá_yíng,CJK-A)
㕳	(口㐅凵,IqOsZv,,CJK-A)
㕴	(口冖几,IqErPs,chén,CJK-A)
㕵	(口王,IqGi,guó,CJK-A)
㕶	(口五,IqJi,ň_ňg,CJK-A)
㕷	(口白,IqDy,huà_pā,CJK-A)
㕸	(口立,IqYq,lì,CJK-A)
㕹	(口𠂇又丶,IqGlWiOe,fá,CJK-A)
㕺	(吅一ㄅ,RuFhPv,xiāo,CJK-A)
㕻	(丶不口,OeCiIq,pǒu,CJK-A)
㕼	(口勹乂㇗,IqSnOsPv,,CJK-A)
㕽	(口人,IqHsSi,sì,CJK-A)
㕾	(小口匕,OtIqHs,,CJK-A)
㕿	(禾口,ZpIq,,CJK-A)
㖀	(口聿,IqUa,lè,CJK-A)
㖁	(口㐅𠂇厶,IqOsGlNd,lìn,CJK-A)
㖂	(口日㇂丿,IqJePvCk,yì,CJK-A)
㖃	(口⺁一口,IqOyFhIq,hǒu_hòu,CJK-A)
㖄	(口川,IqJvJv,,CJK-A)
㖅	(口戊一,IqUcFh,xù,CJK-A)
㖆	(口曲,IqRw,qú,CJK-A)
㖇	(口而,IqUa,ér,CJK-A)
㖈	(老口,RiIq,,CJK-A)
㖉	(口人止,IqSiLd,,CJK-A)
㖊	(口彐寸,IqSiLw,xún,CJK-A)
㖋	(人口匕,SiKgIqHs,,CJK-A)
㖌	(亻九口匕,KjDpIqHs,,CJK-A)
㖍	(斗口匕,PfIqHs,,CJK-A)
㖎	(口匕人,IqHsSiKg,,CJK-A)
㖏	(口日土,IqJeBm,niè,CJK-A)
㖐	(吅丿,RuSiCk,wěi,CJK-A)
㖑	(口戈廾,IqIeWh,xiè,CJK-A)
㖒	(口丷𢎨,IqVyUv,tí,CJK-A)
㖓	(口夂丰,IqJtZh,hóng,CJK-A)
㖔	(口一大口,IqFhXiIq,tǔn,CJK-A)
㖕	(口辛,IqJt,niè_xīn,CJK-A)
㖖	(辛口,JtIq,niè,CJK-A)
㖗	(口山亽ヿ,IqDsTuPv,yín,CJK-A)
㖘	(口辰,IqQn,zhēn,CJK-A)
㖙	(力口口匕,AuIqIqHs,,CJK-A)
㖚	(亻寸口匕,KjLwIqHs,,CJK-A)
㖛	(古口匕,QmIqHs,,CJK-A)
㖜	(口匕,WnIqHs,,CJK-A)
㖝	(未口匕,JxIqHs,,CJK-A)
㖞	(口口冂人,IqIqZvSi,wāi,CJK-A)
㖟	(口爫冖又,IqToErWi,shòu,CJK-A)
㖠	(口大示,IqXiDd,nuò,CJK-A)
㖡	(口亠亻,IqUeKjMd,yè,CJK-A)
㖢	(口广止匕,IqGpLdHs,qí,CJK-A)
㖣	(口立口,IqYqIq,tòu,CJK-A)
㖤	(口乛氺凵,IqPvHgZv,hán,CJK-A)
㖥	(口囗禾,IqUdZp,jùn,CJK-A)
㖦	(口木日,IqAjJe,dǒng,CJK-A)
㖧	(口氏日,IqQuJe,hūn_wěn,CJK-A)
㖨	(口氺,IqSiHg,lù,CJK-A)
㖩	(口耳又,IqQgWi,jū_sǒu,CJK-A)
㖪	(口戈口一,IqIeIqFh,huò_guó_xù,CJK-A)
㖫	(口土八夂,IqBmVyJt,líng,CJK-A)
㖬	(口臼又,IqWiWi,,CJK-A)
㖭	(口一大⺗,IqFhXiNg,tiǎn,CJK-A)
㖮	(口侖,IqSy,lún,CJK-A)
㖯	(冂一口口匕,ZvFhIqHs,,CJK-A)
㖰	(口匕冂一口,IqHsZvIq,,CJK-A)
㖱	(亠亻口,UeKjMdIq,,CJK-A)
㖲	(女口口匕,SmIqIqHs,,CJK-A)
㖳	(氵女口匕,HgSmIqHs,,CJK-A)
㖴	(口艹勹,IqWhSnBl,,CJK-A)
㖵	(口目,IqGyVy,gé,CJK-A)
㖶	(口覀土,IqQpBm,yān_yè_yīn,CJK-A)
㖷	(口日疋,IqJeKf,shí_tí,CJK-A)
㖸	(口虍,IqQbSi,xué_niā,CJK-A)
㖹	(口八刀皿,IqVyKgBk,pēn_fèn,CJK-A)
㖺	(口㇏日,IqZhOeJe,chǔn,CJK-A)
㖻	(口予丿木,IqMaCkAj,niú_ròu,CJK-A)
㖼	(口甘木,IqMzAj,duǒ,CJK-A)
㖽	(口頁,IqWv,zé,CJK-A)
㖾	(吅䒑,RuVyIa,è,CJK-A)
㖿	(口耳阝,IqQgTj,xié_yé,CJK-A)
㗀	(口山幺幺,IqDsBlBl,yōu,CJK-A)
㗁	(口吅二ㄅ,IqRuRlPv,è,CJK-A)
㗂	(口小丿目,IqOtCkGy,shěng,CJK-A)
㗃	(口民日,IqNsJe,wěn_hūn,CJK-A)
㗄	(口罒方,IqYtMx,kū,CJK-A)
㗅	(口古月,IqQmMd,hú,CJK-A)
㗆	(口革,IqGo,gé,CJK-A)
㗇	(口二コ又,IqMzRlWi,xiá_ya,CJK-A)
㗈	(口龴用力,IqNdQlAu,màn,CJK-A)
㗉	(丰刀各,ZhKgQy,lüè_è,CJK-A)
㗊	(吅吅,RuRu,jí_léi,CJK-A)
㗋	(口⺈厂矢,IqRlOyEu,hóu,CJK-A)
㗌	(口宀至,IqErCy,zhì,CJK-A)
㗍	(口禾日,IqZpJe,,CJK-A)
㗎	(口力口木,IqAuIqAj,,CJK-A)
㗏	(口不一止,IqCiFhLd,wāi,CJK-A)
㗐	(口大丶皿,IqXiOeBk,,CJK-A)
㗑	(口一丰,IqPcFhZh,bai,CJK-A)
㗒	(口衣口,IqOrIq,ài,CJK-A)
㗓	(口丿㠯辶,IqCkUsLt,zhuī,CJK-A)
㗔	(口虍文,IqQbWm,qiān,CJK-A)
㗕	(口井王冂,IqBzGiZv,gòu_gōu,CJK-A)
㗖	(口爫臼,IqToWi,dàn,CJK-A)
㗗	(口力白丿十,IqAuDyGl,bēi,CJK-A)
㗘	(口甫寸,IqGnLw,bó,CJK-A)
㗙	(口勹勹,IqSnIaIa,chū_nà_zhōu,CJK-A)
㗚	(口覀木,IqQpAj,lì,CJK-A)
㗛	(口⺮丿大,IqZiCkXi,xiào,CJK-A)
㗜	(口亠幺田,IqUeBlSl,xiù,CJK-A)
㗝	(口⺷灬,IqIdYv,,CJK-A)
㗞	(口石皮,IqQqEm,,CJK-A)
㗟	(氵丶王口匕,HgOeGiHs,,CJK-A)
㗠	(女厶口口匕,SmNdIqHs,,CJK-A)
㗡	(艹亻乃口匕,WhKjViHs,,CJK-A)
㗢	(口千里力,IqHcDnAu,hóng_dòng_hòng,CJK-A)
㗣	(口冖巾,IqDsErUw,tì,CJK-A)
㗤	(戊⺊一小口,UcDhFhIq,cù,CJK-A)
㗥	(口子阝,IqWnYdTj,kuò_guō,CJK-A)
㗦	(口耳卯,IqQgFm,láo,CJK-A)
㗧	(口穴至,IqZiCy,zhì_dié,CJK-A)
㗨	(匚矢殳口,EhEuQiIq,xiē_ǎi,CJK-A)
㗩	(口羽白,IqEhDy,xī,CJK-A)
㗪	(口止匕糸,IqLdHsHt,,CJK-A)
㗫	(口示,IqVyDd,qiè,CJK-A)
㗬	(夕夕,XyXuXu,zhā,CJK-A)
㗭	(口丿米心,IqCkMgNg,xī,CJK-A)
㗮	(夕口广人,XuIqGpSi,,CJK-A)
㗯	(耂日口匕,RiJeIqHs,,CJK-A)
㗰	(口彳人人龰,IqJbSiLd,cóng,CJK-A)
㗱	(口隹木,IqVhAj,jí,CJK-A)
㗲	(口聿田一,IqUaSlFh,huò,CJK-A)
㗳	(口⺮亼口,IqZiTuIq,tǎ_dā,CJK-A)
㗴	(口門月,IqAcMd,yán,CJK-A)
㗵	(口火火欠,IqYvYvFy,xù,CJK-A)
㗶	(口癶弓殳,IqVyOdQi,pō,CJK-A)
㗷	(口宀井一贝,IqErBzDj,sǎi,CJK-A)
㗸	(口行缶,IqFjUs,,CJK-A)
㗹	(口隹心,IqVhNg,,CJK-A)
㗺	(口一大非,IqFhXiDm,,CJK-A)
㗻	(口冎口辶,IqFvIqLt,guō,CJK-A)
㗼	(口业䒑未,IqOqVyJx,yè,CJK-A)
㗽	(乡丶阝口,FfOeTpIq,xiǎng,CJK-A)
㗾	(口革亻匕,IqGoKjHs,xuē,CJK-A)
㗿	(口門可,IqAcZj,hé_xià_xiā,CJK-A)
㘀	(口臼米,IqWiMg,zuò,CJK-A)
㘁	(口罒土,IqYtBmId,yì,CJK-A)
㘂	(口䒑幺幺心,IqVyBlNg,cí,CJK-A)
㘃	(口艹𠂇口心,IqWhGlNg,,CJK-A)
㘄	(口木罒方,IqAjYtMx,lēng,CJK-A)
㘅	(口行金,IqFjTk,xián,CJK-A)
㘆	(口士口冖至,IqMfIqCy,tǎi,CJK-A)
㘇	(口火火冖木,IqYvYvAj,róng,CJK-A)
㘈	(口匕矢龴疋,IqHsEuKf,yì_nǐ,CJK-A)
㘉	(口⺮卩,IqZiTpWj,zhì,CJK-A)
㘊	(口⻗言,IqTfMe,xī_yì,CJK-A)
㘋	(口臣又貝,IqDzWiIc,xián,CJK-A)
㘌	(口虍豕刂,IqQbKtKg,jù,CJK-A)
㘍	(口小隹戈,IqOtVhIe,jí,CJK-A)
㘎	(口门ヿ耳攵,IqBoPvRy,hǎn,CJK-A)
㘏	(䒑自辶口匕,VyCjLtHs,,CJK-A)
㘐	(口馬六乂,IqGbCaOs,pào,CJK-A)
㘑	(口士示氺,IqMfDdHg,lì,CJK-A)
㘒	(禾千里口匕,ZpHcDnHs,,CJK-A)
㘓	(口門束丷,IqAcUhVy,lán,CJK-A)
㘔	(口宀井貝,IqErBzIc,sǎi,CJK-A)
㘕	(口艹臣皿,IqWhDzBk,hǎn_lán,CJK-A)
㘖	(口厂彡頁,IqYqOyWv,yán,CJK-A)
㘗	(口目目隹,IqGyGyVh,qū,CJK-A)
㘘	(言糹糹口,MeHtHtIq,,CJK-A)
㘙	(口吅厂ヿ耳攵,IqRuOyRy,yán,CJK-A)
㘚	(口門ヿ耳攵,IqAcPvRy,hǎn,CJK-A)
㘛	(口亼口立⺝,IqTuIqIa,kān,CJK-A)
㘜	(隹言隹口,VhMeVhIq,chǐ,CJK-A)
㘝	(囗又,UdWi,niè,CJK-A)
㘞	(囗力,UdAu,huò,CJK-A)
㘟	(囗廾,UdWh,,CJK-A)
㘠	(囗心丿,UdNgCk,bì,CJK-A)
㘡	(囗甲,UdSt,xiá,CJK-A)
㘢	(囗光,UdSj,wěng,CJK-A)
㘣	(囗口⺝,UdIqMd,xuán_yuán,CJK-A)
㘤	(囗氵片爿一,UdHgNbFh,wān,CJK-A)
㘥	(囗爫缶丿糸,UdToUsHt,yóu,CJK-A)
㘦	(土力,BmAu,qín,CJK-A)
㘧	(土予,BmMa,xù,CJK-A)
㘨	(土冂人,BmZvSi,niè,CJK-A)
㘩	(土匕,BmHsHs,bì,CJK-A)
㘪	(土毛,BmOu,hào,CJK-A)
㘫	(土井,BmBz,jǐng,CJK-A)
㘬	(土勹厶,BmSnNd,ào_wù,CJK-A)
㘭	(土幺𠃌,BmBlPv,ào,CJK-A)
㘮	(土尸丶,BmMzOe,,CJK-A)
㘯	(土𠂉力,BmLdAu,,CJK-A)
㘰	(土斗,BmPf,zhēn,CJK-A)
㘱	(土冂土,BmZvBm,tān,CJK-A)
㘲	(土尸九,BmMzDp,jú,CJK-A)
㘳	(匕土,NbHsBm,,CJK-A)
㘴	(口人土,IqSiBm,zuò,CJK-A)
㘵	(土𠂇巾,BmGlUw,bù,CJK-A)
㘶	(夕㐄土,XuGjBm,jié,CJK-A)
㘷	(土艹乂,BmWhOs,ài,CJK-A)
㘸	(歹匕土,QmHsBm,zàng_zuò,CJK-A)
㘹	(止匕土,LdHsBm,cí,CJK-A)
㘺	(土亻戈,BmKjIe,fá,CJK-A)
㘻	(土囗大,BmUdXi,,CJK-A)
㘼	(土耂一ㄅ,BmRiFhPv,,CJK-A)
㘽	(十戈土,GlIeBm,,CJK-A)
㘾	(土宀一𬺰,BmErFhGl,,CJK-A)
㘿	(土日土,BmJeBm,niè,CJK-A)
㙀	(土穴九,BmZiDp,liù_jiù,CJK-A)
㙁	(土𠂉母,BmLdQt,méi_mù,CJK-A)
㙂	(土丷口儿,BmVyIqAh,duì_wèng,CJK-A)
㙃	(土,BmOzVy,bāng,CJK-A)
㙄	(土匕土,BmHsHsBm,bì,CJK-A)
㙅	(土口木,BmIqAj,bǎo,CJK-A)
㙆	(土宀𠂇厶,BmErGlNd,,CJK-A)
㙇	(土豕丶,BmKtOe,chù,CJK-A)
㙈	(土虎,BmQb,xià,CJK-A)
㙉	(土𠕁,BmJzVy,tiǎn,CJK-A)
㙊	(土長,BmSi,cháng_zhàng,CJK-A)
㙋	(土,BmMzVy,,CJK-A)
㙌	(土肀八,BmUaKgVy,,CJK-A)
㙍	(土又又又又,BmWiWiWi,duō,CJK-A)
㙎	(土戊一女,BmUcFhSm,wēi,CJK-A)
㙏	(土𠂉日夂,BmLdJeJt,fù,CJK-A)
㙐	(土山而,BmDsUa,duǒ,CJK-A)
㙑	(丿口⽱土,CkIqFjBm,yǔ,CJK-A)
㙒	(田予土,SlMaBm,yě,CJK-A)
㙓	(土土土土,BmBmBmBm,kuí,CJK-A)
㙔	(土韋,BmIw,wěi_hán,CJK-A)
㙕	(土田⺝,BmSlMd,kuài,CJK-A)
㙖	(土丿口⽱,BmCkIqFj,,CJK-A)
㙗	(土田一,BmSlFhOr,wēi,CJK-A)
㙘	(土覀女,BmQpSm,yāo,CJK-A)
㙙	(氵龙土,HgJhBlBm,lǒng,CJK-A)
㙚	(土⺷牛,BmIdLz,xīng,CJK-A)
㙛	(土甫寸,BmGnLw,bǔ,CJK-A)
㙜	(高土,WnBm,chí,CJK-A)
㙝	(土力力力⺝,BmAuAuMd,xié,CJK-A)
㙞	(土自木,BmCjAj,niè,CJK-A)
㙟	(土丶月,BmOeTpMd,lǎng,CJK-A)
㙠	(匚矢殳土,EhEuQiBm,yī_yì,CJK-A)
㙡	(土彳人人龰,BmJbSiLd,zōng,CJK-A)
㙢	(土廿巾入入,BmXkUwXj,mán,CJK-A)
㙣	(土弓長,BmOdSi,zhàng,CJK-A)
㙤	(土虍丿丷𬺰,BmQbCkGl,xià,CJK-A)
㙥	(土衣八厶,BmOrVyNd,gùn,CJK-A)
㙦	(人禾斗土,SiZpPfBm,xié,CJK-A)
㙧	(土田,BmFmSl,,CJK-A)
㙨	(土幺幺戈人,BmBlBlSi,jì,CJK-A)
㙩	(土大丷日小,BmXiVyOt,liáo,CJK-A)
㙪	(土士冖豆,BmMfErEi,yì,CJK-A)
㙫	(土隹木,BmVhAj,jí,CJK-A)
㙬	(木人人犬土,AjSiSiBm,yín,CJK-A)
㙭	(土厂䒑欠,BmOyVyFy,,CJK-A)
㙮	(土⺮亼口,BmZiTuIq,dā_da,CJK-A)
㙯	(土八土丸云,BmVyBmPd,yì,CJK-A)
㙰	(⺈用刀牛土,RlQlKgBm,xiè,CJK-A)
㙱	(口一ㄅ虎土,IqFhPvBm,hào,CJK-A)
㙲	(土亠乡隹,BmUeFfVh,yǒng,CJK-A)
㙳	(土戊一口心,BmUcFhNg,kǎn_hǎn,CJK-A)
㙴	(土⺈厂八言,BmRlOyMe,chàn,CJK-A)
㙵	(土高土,BmWnBm,tái,CJK-A)
㙶	(土,WnXyBm,táng,CJK-A)
㙷	(土日幺幺灬,BmJeBlYv,zhí_zhé,CJK-A)
㙸	(土亻业⺶㇏,BmKjOqOe,bào,CJK-A)
㙹	(土艹罒冖夕,BmWhYtXu,méng,CJK-A)
㙺	(土匚虫貝,BmEhJwIc,kuí_guì,CJK-A)
㙻	(土广里八土,BmGpDnBm,chán,CJK-A)
㙼	(土田田田,BmSlSlSl,lěi,CJK-A)
㙽	(土大一白一白,BmXiFhDy,,CJK-A)
㙾	(土乂乂冖子,BmWiOsYd,xì,CJK-A)
㙿	(土⺷禾乃,BmIdZpVi,,CJK-A)
㚀	(土虍豆戈,BmQbEiIe,xī,CJK-A)
㚁	(土土土一儿土土土一儿,BmBmBmAh,qiào,CJK-A)
㚂	(土十口冖吅井一𧘇,BmGlIqOr,nàng,CJK-A)
㚃	(士冖㐅凵䒑,MfErOsVy,yūn,CJK-A)
㚄	(士冖田疋,MfErSlKf,,CJK-A)
㚅	(夂一生,JtFhDh,lóng,CJK-A)
㚆	(亠日夂,UeJeJt,fù,CJK-A)
㚇	(㐅凵八夂,OsZvVyJt,zōng,CJK-A)
㚈	(夕十,XuGl,,CJK-A)
㚉	(乃夕夕,ViXuXu,gǔ,CJK-A)
㚊	(夕夕亥,XuXuYg,kāi,CJK-A)
㚋	(夕夕⺆土口,XuXuZvIq,diāo,CJK-A)
㚌	(夕夕田木,XuXuSlAj,huà,CJK-A)
㚍	(夕夕虫貝,XuXuJwIc,kuǐ_kuì,CJK-A)
㚎	(大凵,XiZv,,CJK-A)
㚏	(大廾,XiWh,gǎo,CJK-A)
㚐	(大大,XiXi,tào,CJK-A)
㚑	(彐大,SiXi,,CJK-A)
㚒	(大入入,XiXjXj,shǎn,CJK-A)
㚓	(大木,XiAj,lǎi,CJK-A)
㚔	(大,XiId,niè_xìng,CJK-A)
㚕	(大弗,XiUv,fú,CJK-A)
㚖	(白大,DyXi,gǎo_zé,CJK-A)
㚗	(大且,XiRh,qié,CJK-A)
㚘	(夫夫,SvSv,bàn_hè_fú,CJK-A)
㚙	(力口大,AuIqXi,jiā,CJK-A)
㚚	(大夕口,XiXuIq,kōng_kuāng,CJK-A)
㚛	(大匕日,XiHsJe,xì,CJK-A)
㚜	(大戈口一,XiIeIqFh,yù_xù,CJK-A)
㚝	(大亻土土,XiKjBmBm,zhuī,CJK-A)
㚞	(大木木,XiAjAj,shěn,CJK-A)
㚟	(匕匕大,ZhHsHsXi,chuò,CJK-A)
㚠	(大⺷灬,XiIdYv,xiāo,CJK-A)
㚡	(大可大可,XiZjXiZj,jǐ,CJK-A)
㚢	(亻女,KjSm,nú_wǔ,CJK-A)
㚣	(女女,SmSm,xiáo,CJK-A)
㚤	(女弋,SmNd,yì,CJK-A)
㚥	(女一𬺰,SmFhGl,yú,CJK-A)
㚦	(女丌,SmWh,yí,CJK-A)
㚧	(女广,SmGp,yǎn,CJK-A)
㚨	(女⺄十,SmPvGl,shěn,CJK-A)
㚩	(女冂二,SmZvRl,rǎn,CJK-A)
㚪	(女毛,SmOu,hào,CJK-A)
㚫	(女及,SmKd,sà,CJK-A)
㚬	(女勹冫,SmSnLv,jūn,CJK-A)
㚭	(女尤,SmGh,yóu,CJK-A)
㚮	(女冖几,SmErPs,,CJK-A)
㚯	(女几乂,SmPsOs,xín,CJK-A)
㚰	(女不一,SmCiFh,pēi_bǐ,CJK-A)
㚱	(女一,SmOzFh,qiū,CJK-A)
㚲	(女⺊口,SmDhIq,chān_diǎn_diàn,CJK-A)
㚳	(女力口,SmAuIq,,CJK-A)
㚴	(女𠂇巾,SmGlUw,bù,CJK-A)
㚵	(女夂゛,SmJtLv,dōng,CJK-A)
㚶	(女㠯,SmUs,sì_yí,CJK-A)
㚷	(女人小,SmSiOt,ěr,CJK-A)
