⺀	[丶丶,bīng_èr,部首補充]
㕫	[口方,fǎng_fēng,CJK-A]
㕬	[口八厶,gōng_sòng,CJK-A]
㕭	[口丿大,āo_ào,CJK-A]
㕮	[口八乂,fǔ,CJK-A]
㕯	[冂人口,nè,CJK-A]
㕰	[口毛,xuè_ma,CJK-A]
㕱	[口尤,yóu,CJK-A]
㕲	[口木,huá_yíng,CJK-A]
㕳	[口㐅凵,,CJK-A]
㕴	[口冖几,chén,CJK-A]
㕵	[口王,guó,CJK-A]
㕶	[口五,ň_ňg,CJK-A]
㕷	[口白,huà_pā,CJK-A]
㕸	[口立,lì,CJK-A]
㕹	[口𠂇又丶,fá,CJK-A]
㕺	[吅一ㄅ,xiāo,CJK-A]
㕻	[丶不口,pǒu,CJK-A]
㕼	[口勹乂㇗,,CJK-A]
㕽	[口人,sì,CJK-A]
㕾	[小口匕,,CJK-A]
㕿	[禾口,,CJK-A]
㖀	[口聿,lè,CJK-A]
㖁	[口㐅𠂇厶,lìn,CJK-A]
㖂	[口日㇂丿,yì,CJK-A]
㖃	[口⺁一口,hǒu_hòu,CJK-A]
㖄	[口川,,CJK-A]
㖅	[口戊一,xù,CJK-A]
㖆	[口曲,qú,CJK-A]
㖇	[口而,ér,CJK-A]
㖈	[老口,,CJK-A]
㖉	[口人止,,CJK-A]
㖊	[口彐寸,xún,CJK-A]
㖋	[人口匕,,CJK-A]
㖌	[亻九口匕,,CJK-A]
㖍	[斗口匕,,CJK-A]
㖎	[口匕人,,CJK-A]
㖏	[口日土,niè,CJK-A]
㖐	[吅丿,wěi,CJK-A]
㖑	[口戈廾,xiè,CJK-A]
㖒	[口丷𢎨,tí,CJK-A]
㖓	[口夂丰,hóng,CJK-A]
㖔	[口一大口,tǔn,CJK-A]
㖕	[口辛,niè_xīn,CJK-A]
㖖	[辛口,niè,CJK-A]
㖗	[口山亽ヿ,yín,CJK-A]
㖘	[口辰,zhēn,CJK-A]
㖙	[力口口匕,,CJK-A]
㖚	[亻寸口匕,,CJK-A]
㖛	[古口匕,,CJK-A]
㖜	[口匕,,CJK-A]
㖝	[未口匕,,CJK-A]
㖞	[口口冂人,wāi,CJK-A]
㖟	[口爫冖又,shòu,CJK-A]
㖠	[口大示,nuò,CJK-A]
㖡	[口亠亻,yè,CJK-A]
㖢	[口广止匕,qí,CJK-A]
㖣	[口立口,tòu,CJK-A]
㖤	[口乛氺凵,hán,CJK-A]
㖥	[口囗禾,jùn,CJK-A]
㖦	[口木日,dǒng,CJK-A]
㖧	[口氏日,hūn_wěn,CJK-A]
㖨	[口氺,lù,CJK-A]
㖩	[口耳又,jū_sǒu,CJK-A]
㖪	[口戈口一,huò_guó_xù,CJK-A]
㖫	[口土八夂,líng,CJK-A]
㖬	[口臼又,,CJK-A]
㖭	[口一大⺗,tiǎn,CJK-A]
㖮	[口侖,lún,CJK-A]
㖯	[冂一口口匕,,CJK-A]
㖰	[口匕冂一口,,CJK-A]
㖱	[亠亻口,,CJK-A]
㖲	[女口口匕,,CJK-A]
㖳	[氵女口匕,,CJK-A]
㖴	[口艹勹,,CJK-A]
㖵	[口目,gé,CJK-A]
㖶	[口覀土,yān_yè_yīn,CJK-A]
㖷	[口日疋,shí_tí,CJK-A]
㖸	[口虍,xué_niā,CJK-A]
㖹	[口八刀皿,pēn_fèn,CJK-A]
㖺	[口㇏日,chǔn,CJK-A]
㖻	[口予丿木,niú_ròu,CJK-A]
㖼	[口甘木,duǒ,CJK-A]
㖽	[口頁,zé,CJK-A]
㖾	[吅䒑,è,CJK-A]
㖿	[口耳阝,xié_yé,CJK-A]
㗀	[口山幺幺,yōu,CJK-A]
㗁	[口吅二ㄅ,è,CJK-A]
㗂	[口小丿目,shěng,CJK-A]
㗃	[口民日,wěn_hūn,CJK-A]
㗄	[口罒方,kū,CJK-A]
㗅	[口古月,hú,CJK-A]
㗆	[口革,gé,CJK-A]
㗇	[口二コ又,xiá_ya,CJK-A]
㗈	[口龴用力,màn,CJK-A]
㗉	[丰刀各,lüè_è,CJK-A]
㗊	[吅吅,jí_léi,CJK-A]
㗋	[口⺈厂矢,hóu,CJK-A]
㗌	[口宀至,zhì,CJK-A]
㗍	[口禾日,,CJK-A]
㗎	[口力口木,,CJK-A]
㗏	[口不一止,wāi,CJK-A]
㗐	[口大丶皿,,CJK-A]
㗑	[口一丰,bai,CJK-A]
㗒	[口衣口,ài,CJK-A]
㗓	[口丿㠯辶,zhuī,CJK-A]
㗔	[口虍文,qiān,CJK-A]
㗕	[口井王冂,gòu_gōu,CJK-A]
㗖	[口爫臼,dàn,CJK-A]
㗗	[口力白丿十,bēi,CJK-A]
㗘	[口甫寸,bó,CJK-A]
㗙	[口勹勹,chū_nà_zhōu,CJK-A]
㗚	[口覀木,lì,CJK-A]
㗛	[口⺮丿大,xiào,CJK-A]
㗜	[口亠幺田,xiù,CJK-A]
㗝	[口⺷灬,,CJK-A]
㗞	[口石皮,,CJK-A]
㗟	[氵丶王口匕,,CJK-A]
㗠	[女厶口口匕,,CJK-A]
㗡	[艹亻乃口匕,,CJK-A]
㗢	[口千里力,hóng_dòng_hòng,CJK-A]
㗣	[口冖巾,tì,CJK-A]
㗤	[戊⺊一小口,cù,CJK-A]
㗥	[口子阝,kuò_guō,CJK-A]
㗦	[口耳卯,láo,CJK-A]
㗧	[口穴至,zhì_dié,CJK-A]
㗨	[匚矢殳口,xiē_ǎi,CJK-A]
㗩	[口羽白,xī,CJK-A]
㗪	[口止匕糸,,CJK-A]
㗫	[口示,qiè,CJK-A]
㗬	[夕夕,zhā,CJK-A]
㗭	[口丿米心,xī,CJK-A]
㗮	[夕口广人,,CJK-A]
㗯	[耂日口匕,,CJK-A]
㗰	[口彳人人龰,cóng,CJK-A]
㗱	[口隹木,jí,CJK-A]
㗲	[口聿田一,huò,CJK-A]
㗳	[口⺮亼口,tǎ_dā,CJK-A]
㗴	[口門月,yán,CJK-A]
㗵	[口火火欠,xù,CJK-A]
㗶	[口癶弓殳,pō,CJK-A]
㗷	[口宀井一贝,sǎi,CJK-A]
㗸	[口行缶,,CJK-A]
㗹	[口隹心,,CJK-A]
㗺	[口一大非,,CJK-A]
㗻	[口冎口辶,guō,CJK-A]
㗼	[口业䒑未,yè,CJK-A]
㗽	[乡丶阝口,xiǎng,CJK-A]
㗾	[口革亻匕,xuē,CJK-A]
㗿	[口門可,hé_xià_xiā,CJK-A]
㘀	[口臼米,zuò,CJK-A]
㘁	[口罒土,yì,CJK-A]
㘂	[口䒑幺幺心,cí,CJK-A]
㘃	[口艹𠂇口心,,CJK-A]
㘄	[口木罒方,lēng,CJK-A]
㘅	[口行金,xián,CJK-A]
㘆	[口士口冖至,tǎi,CJK-A]
㘇	[口火火冖木,róng,CJK-A]
㘈	[口匕矢龴疋,yì_nǐ,CJK-A]
㘉	[口⺮卩,zhì,CJK-A]
㘊	[口⻗言,xī_yì,CJK-A]
㘋	[口臣又貝,xián,CJK-A]
㘌	[口虍豕刂,jù,CJK-A]
㘍	[口小隹戈,jí,CJK-A]
㘎	[口门ヿ耳攵,hǎn,CJK-A]
㘏	[䒑自辶口匕,,CJK-A]
㘐	[口馬六乂,pào,CJK-A]
㘑	[口士示氺,lì,CJK-A]
㘒	[禾千里口匕,,CJK-A]
㘓	[口門束丷,lán,CJK-A]
㘔	[口宀井貝,sǎi,CJK-A]
㘕	[口艹臣皿,hǎn_lán,CJK-A]
㘖	[口厂彡頁,yán,CJK-A]
㘗	[口目目隹,qū,CJK-A]
㘘	[言糹糹口,,CJK-A]
㘙	[口吅厂ヿ耳攵,yán,CJK-A]
㘚	[口門ヿ耳攵,hǎn,CJK-A]
㘛	[口亼口立⺝{龍字边},kān,CJK-A]
㘜	[隹言隹口,chǐ,CJK-A]
㘝	[囗又,niè,CJK-A]
㘞	[囗力,huò,CJK-A]
㘟	[囗廾,,CJK-A]
㘠	[囗心丿,bì,CJK-A]
㘡	[囗甲,xiá,CJK-A]
㘢	[囗光,wěng,CJK-A]
㘣	[囗口⺝,xuán_yuán,CJK-A]
㘤	[囗氵片爿一,wān,CJK-A]
㘥	[囗爫缶丿糸,yóu,CJK-A]
㘦	[土力,qín,CJK-A]
㘧	[土予,xù,CJK-A]
㘨	[土冂人,niè,CJK-A]
㘩	[土匕,bì,CJK-A]
㘪	[土毛,hào,CJK-A]
㘫	[土井,jǐng,CJK-A]
㘬	[土勹厶,ào_wù,CJK-A]
㘭	[土幺𠃌,ào,CJK-A]
㘮	[土尸丶,,CJK-A]
㘯	[土𠂉力,,CJK-A]
㘰	[土斗,zhēn,CJK-A]
㘱	[土冂土,tān,CJK-A]
㘲	[土尸九,jú,CJK-A]
㘳	[匕土,,CJK-A]
㘴	[口人土,zuò,CJK-A]
㘵	[土𠂇巾,bù,CJK-A]
㘶	[夕㐄土,jié,CJK-A]
㘷	[土艹乂,ài,CJK-A]
㘸	[歹匕土,zàng_zuò,CJK-A]
㘹	[止匕土,cí,CJK-A]
㘺	[土亻戈,fá,CJK-A]
㘻	[土囗大,,CJK-A]
㘼	[土耂一ㄅ,,CJK-A]
㘽	[十戈土,,CJK-A]
㘾	[土宀一𬺰,,CJK-A]
㘿	[土日土,niè,CJK-A]
㙀	[土穴九,liù_jiù,CJK-A]
㙁	[土𠂉母,méi_mù,CJK-A]
㙂	[土丷口儿,duì_wèng,CJK-A]
㙃	[土,bāng,CJK-A]
㙄	[土匕土,bì,CJK-A]
㙅	[土口木,bǎo,CJK-A]
㙆	[土宀𠂇厶,,CJK-A]
㙇	[土豕丶,chù,CJK-A]
㙈	[土虎,xià,CJK-A]
㙉	[土𠕁,tiǎn,CJK-A]
㙊	[土長,cháng_zhàng,CJK-A]
㙋	[土,,CJK-A]
㙌	[土肀八,,CJK-A]
㙍	[土又又又又,duō,CJK-A]
㙎	[土戊一女,wēi,CJK-A]
㙏	[土𠂉日夂,fù,CJK-A]
㙐	[土山而,duǒ,CJK-A]
㙑	[丿口⽱土,yǔ,CJK-A]
㙒	[田予土,yě,CJK-A]
㙓	[土土土土,kuí,CJK-A]
㙔	[土韋,wěi_hán,CJK-A]
㙕	[土田⺝,kuài,CJK-A]
㙖	[土丿口⽱,,CJK-A]
㙗	[土田一,wēi,CJK-A]
㙘	[土覀女,yāo,CJK-A]
㙙	[氵龙土,lǒng,CJK-A]
㙚	[土⺷牛,xīng,CJK-A]
㙛	[土甫寸,bǔ,CJK-A]
㙜	[高土,chí,CJK-A]
㙝	[土力力力⺝,xié,CJK-A]
㙞	[土自木,niè,CJK-A]
㙟	[土丶月,lǎng,CJK-A]
㙠	[匚矢殳土,yī_yì,CJK-A]
㙡	[土彳人人龰,zōng,CJK-A]
㙢	[土廿巾入入,mán,CJK-A]
㙣	[土弓長,zhàng,CJK-A]
㙤	[土虍丿丷𬺰,xià,CJK-A]
㙥	[土衣八厶,gùn,CJK-A]
㙦	[人禾斗土,xié,CJK-A]
㙧	[土田,,CJK-A]
㙨	[土幺幺戈人,jì,CJK-A]
㙩	[土大丷日小,liáo,CJK-A]
㙪	[土士冖豆,yì,CJK-A]
㙫	[土隹木,jí,CJK-A]
㙬	[木人人犬土,yín,CJK-A]
㙭	[土厂䒑欠,,CJK-A]
㙮	[土⺮亼口,dā_da,CJK-A]
㙯	[土八土丸云,yì,CJK-A]
㙰	[⺈用刀牛土,xiè,CJK-A]
㙱	[口一ㄅ虎土,hào,CJK-A]
㙲	[土亠乡隹,yǒng,CJK-A]
㙳	[土戊一口心,kǎn_hǎn,CJK-A]
㙴	[土⺈厂八言,chàn,CJK-A]
㙵	[土高土,tái,CJK-A]
㙶	[土,táng,CJK-A]
㙷	[土日幺幺灬,zhí_zhé,CJK-A]
㙸	[土亻业⺶㇏,bào,CJK-A]
㙹	[土艹罒冖夕,méng,CJK-A]
㙺	[土匚虫貝,kuí_guì,CJK-A]
㙻	[土广里八土,chán,CJK-A]
㙼	[土田田田,lěi,CJK-A]
㙽	[土大一白一白,,CJK-A]
㙾	[土乂乂冖子,xì,CJK-A]
㙿	[土⺷禾乃,,CJK-A]
㚀	[土虍豆戈,xī,CJK-A]
㚁	[土土土一儿土土土一儿,qiào,CJK-A]
㚂	[土十口冖吅井一𧘇,nàng,CJK-A]
㚃	[士冖㐅凵䒑,yūn,CJK-A]
㚄	[士冖田疋,,CJK-A]
㚅	[夂一生,lóng,CJK-A]
㚆	[亠日夂,fù,CJK-A]
㚇	[㐅凵八夂,zōng,CJK-A]
㚈	[夕十,,CJK-A]
㚉	[乃夕夕,gǔ,CJK-A]
㚊	[夕夕亥,kāi,CJK-A]
㚋	[夕夕⺆土口,diāo,CJK-A]
㚌	[夕夕田木,huà,CJK-A]
㚍	[夕夕虫貝,kuǐ_kuì,CJK-A]
㚎	[大凵,,CJK-A]
㚏	[大廾,gǎo,CJK-A]
㚐	[大大,tào,CJK-A]
㚑	[彐大,,CJK-A]
㚒	[大入入,shǎn,CJK-A]
㚓	[大木,lǎi,CJK-A]
㚔	[大,niè_xìng,CJK-A]
㚕	[大弗,fú,CJK-A]
㚖	[白大,gǎo_zé,CJK-A]
㚗	[大且,qié,CJK-A]
㚘	[夫夫,bàn_hè_fú,CJK-A]
㚙	[力口大,jiā,CJK-A]
㚚	[大夕口,kōng_kuāng,CJK-A]
㚛	[大匕日,xì,CJK-A]
㚜	[大戈口一,yù_xù,CJK-A]
㚝	[大亻土土,zhuī,CJK-A]
㚞	[大木木,shěn,CJK-A]
㚟	[匕匕大,chuò,CJK-A]
㚠	[大⺷灬,xiāo,CJK-A]
㚡	[大可大可,jǐ,CJK-A]
㚢	[亻女,nú_wǔ,CJK-A]
㚣	[女女,xiáo,CJK-A]
㚤	[女弋,yì,CJK-A]
㚥	[女一𬺰,yú,CJK-A]
㚦	[女丌,yí,CJK-A]
㚧	[女广,yǎn,CJK-A]
㚨	[女⺄十,shěn,CJK-A]
㚩	[女冂二,rǎn,CJK-A]
㚪	[女毛,hào,CJK-A]
㚫	[女及,sà,CJK-A]
㚬	[女勹冫,jūn,CJK-A]
㚭	[女尤,yóu,CJK-A]
㚮	[女冖几,,CJK-A]
㚯	[女几乂,xín,CJK-A]
㚰	[女不一,pēi_bǐ,CJK-A]
㚱	[女一,qiū,CJK-A]
㚲	[女⺊口,chān_diǎn_diàn,CJK-A]
㚳	[女力口,,CJK-A]
㚴	[女𠂇巾,bù,CJK-A]
㚵	[女夂゛,dōng,CJK-A]
㚶	[女㠯,sì_yí,CJK-A]
㚷	[女人小,ěr,CJK-A]
㚸	[女𠃌一口,,CJK-A]
㚹	[女卯,mǎo_liǔ,CJK-A]
㚺	[女乃子,yùn,CJK-A]
㚻	[田女,jī,CJK-A]
㚼	[女田,,CJK-A]
㚽	[工一ㄅ女,qiǎo,CJK-A]
㚾	[女口儿,xiōng,CJK-A]
㚿	[女勹巳,páo,CJK-A]
㛀	[女⺈彐,chú,CJK-A]
㛁	[女干丷,pēng,CJK-A]
㛂	[女⺁巴,nuǒ,CJK-A]
㛃	[丰刀女,jié,CJK-A]
㛄	[女衣,yī,CJK-A]
㛅	[女耳,èr,CJK-A]
㛆	[女乃木,duò_duǒ,CJK-A]
㛇	[女广土,,CJK-A]
㛈	[女耂一ㄅ,,CJK-A]
㛉	[女西,,CJK-A]
㛊	[女几木,duǒ,CJK-A]
㛋	[女人⺗,,CJK-A]
㛌	[女厶牛,,CJK-A]
㛍	[女大人人,qiè_xiǎn_xiá,CJK-A]
㛎	[女吕,lǚ,CJK-A]
㛏	[女一氺丶,qiú,CJK-A]
㛐	[女{凬字心},sǒu,CJK-A]
㛑	[歺又女,càn,CJK-A]
㛒	[女豆,dòu,CJK-A]
㛓	[女㐅𠂇巾,xī,CJK-A]
㛔	[女夂丰,fēng_péng,CJK-A]
㛕	[女口巴,yì_è,CJK-A]
㛖	[女厶八夂,suō,CJK-A]
㛗	[女人人土,qiē_zuō_suō,CJK-A]
㛘	[女十冖子,pò,CJK-A]
㛙	[女辛,xīn_qiè,CJK-A]
㛚	[女龴用,tǒng_yǒng,CJK-A]
㛛	[女身,xìn,CJK-A]
㛜	[亻丨攵女,yóu,CJK-A]
㛝	[女貝,bèi,CJK-A]
㛞	[女王廾,lòng,CJK-A]
㛟	[女⺈冂大,,CJK-A]
㛠	[女门日,,CJK-A]
㛡	[女宀二儿,,CJK-A]
㛢	[女禾乃,,CJK-A]
㛣	[女口贝,yún,CJK-A]
㛤	[女一,lí,CJK-A]
㛥	[女水曰,tà,CJK-A]
㛦	[女木木,lǎn,CJK-A]
㛧	[女山石,mǎn,CJK-A]
㛨	[女⺶乚,qiǎng,CJK-A]
㛩	[女⺝,zhóu,CJK-A]
㛪	[女大日乚,yàn_yān,CJK-A]
㛫	[女日勹,xī,CJK-A]
㛬	[女土八土,lù,CJK-A]
㛭	[女龷日,xī,CJK-A]
㛮	[女宀火又,sǎo,CJK-A]
㛯	[女儿力,fàn_miǎn_zhuàn,CJK-A]
㛰	[女民日,,CJK-A]
㛱	[女田一,wěi_wēi,CJK-A]
㛲	[女頁,fà,CJK-A]
㛳	[冖巾女,yì,CJK-A]
㛴	[女巛丿龱,nǎo,CJK-A]
㛵	[女爫冂土,chēng,CJK-A]
㛶	[女山𠂇火,tàn,CJK-A]
㛷	[禾尤女,jī,CJK-A]
㛸	[女壴,shù,CJK-A]
㛹	[女亻{凬字心},pián,CJK-A]
㛺	[女音,ān,CJK-A]
㛻	[女大土土,kuā,CJK-A]
㛼	[女千臼,chā_shà,CJK-A]
㛽	[女宀米,,CJK-A]
㛾	[女戊一口,xián,CJK-A]
㛿	[女卅冖巾,zhì,CJK-A]
㜀	[女木目,,CJK-A]
㜁	[女木日一,,CJK-A]
㜂	[土土寸女,fēng,CJK-A]
㜃	[女亻言,liàn,CJK-A]
㜄	[女風,xún,CJK-A]
㜅	[女亠幺田,xù,CJK-A]
㜆	[女米辶,mì,CJK-A]
㜇	[女土土心,huì_yè,CJK-A]
㜈	[予丿夂力女,mù,CJK-A]
㜉	[女巛口巴,yōng,CJK-A]
㜊	[女尸龷,zhǎn,CJK-A]
㜋	[女皿,yì,CJK-A]
㜌	[{彀字框无一}一女,nǒu_gòu_kòu,CJK-A]
㜍	[女广肀口,táng,CJK-A]
㜎	[女爫幺大,xī_xì,CJK-A]
㜏	[女口貝,yún,CJK-A]
㜐	[女山豆,shù,CJK-A]
㜑	[氵甫女,fú,CJK-A]
㜒	[女臼廾,yì,CJK-A]
㜓	[女艹亼口,dá,CJK-A]
㜔	[女立口儿,,CJK-A]
㜕	[女車辶,lián,CJK-A]
㜖	[女一曲日,cáo,CJK-A]
㜗	[女厶厶厶人彡,cān_sēn,CJK-A]
㜘	[女虍且,jù_qù_chá,CJK-A]
㜙	[女鹿,lù,CJK-A]
㜚	[女宀亻一白,sù,CJK-A]
㜛	[女車欠,nèn,CJK-A]
㜜	[女敖,ào,CJK-A]
㜝	[女亽ヿ酉,ǎn_yǎn,CJK-A]
㜞	[車斤女,qiàn_cán,CJK-A]
㜟	[女ヿ耳攵,,CJK-A]
㜠	[女山隹,cuī,CJK-A]
㜡	[女彳人人龰,cōng,CJK-A]
㜢	[女口丨女,,CJK-A]
㜣	[女犬灬,rán_rǎn,CJK-A]
㜤	[女覀日十,niǎn_tiǎn_tán,CJK-A]
㜥	[女罒貝,mái,CJK-A]
㜦	[女彐工口寸,xín,CJK-A]
㜧	[女厂䒑欠,yuè,CJK-A]
㜨	[女尸氺牛,nái,CJK-A]
㜩	[女丿冂米大,ào,CJK-A]
㜪	[立木斤女,shēn,CJK-A]
㜫	[女{微框}几,mà,CJK-A]
㜬	[女⺈厂八言,,CJK-A]
㜭	[女田,,CJK-A]
㜮	[女臣皿,làn_lán,CJK-A]
㜯	[女巳灬,xī,CJK-A]
㜰	[女白幺幺木,yuè,CJK-A]
㜱	[女斤斤貝,zhì,CJK-A]
㜲	[女{赢框}女,wěng,CJK-A]
㜳	[女衣罒水,huái,CJK-A]
㜴	[女艹罒冖目,mèng,CJK-A]
㜵	[女衣馬,niǎo,CJK-A]
㜶	[女匕匕兔,wǎn,CJK-A]
㜷	[弓一女,mí_xiǎn,CJK-A]
㜸	[艹丿㠯辛女,niè,CJK-A]
㜹	[女目目隹,qú,CJK-A]
㜺	[女⺧儿⺧儿貝,zàn,CJK-A]
㜻	[女言糹糹心,liàn,CJK-A]
㜼	[女田田田冖且,zhí,CJK-A]
㜽	[巛子,zǐ,CJK-A]
㜾	[子人,hái,CJK-A]
㜿	[子予,xù,CJK-A]
㝀	[母子,hào,CJK-A]
㝁	[勹日子,xuān_qióng,CJK-A]
㝂	[子扌斤,zhì_zhè,CJK-A]
㝃	[子儿,miǎn,CJK-A]
㝄	[子一,chún,CJK-A]
㝅	[{彀字框无一}一子,gòu,CJK-A]
㝆	[子壴口,,CJK-A]
㝇	[子子,chún,CJK-A]
㝈	[言糹糹子子,luán,CJK-A]
㝉	[宀一,zhù,CJK-A]
㝊	[宀又,shǒu,CJK-A]
㝋	[宀了,liǎo,CJK-A]
㝌	[宀㇏,jiù,CJK-A]
㝍	[宀一ㄅ一,xiě,CJK-A]
㝎	[宀之,dìng,CJK-A]
㝏	[宀人,jiè,CJK-A]
㝐	[穴厶,róng,CJK-A]
㝑	[宀方,máng,CJK-A]
㝒	[宀古,,CJK-A]
㝓	[宀亼口,kè,CJK-A]
㝔	[宀六乂,yǎo,CJK-A]
㝕	[宀心又,níng,CJK-A]
㝖	[宀夕夕,yí,CJK-A]
㝗	[宀丶艮,láng_lǎng,CJK-A]
㝘	[宀言,yóng,CJK-A]
㝙	[宀王,yín,CJK-A]
㝚	[宀丿止廴,yán,CJK-A]
㝛	[宀亻一囗人,sù,CJK-A]
㝜	[宀龷日,,CJK-A]
㝝	[宀木木,lín,CJK-A]
㝞	[宀一,yā_yà,CJK-A]
㝟	[宀一見,máo,CJK-A]
㝠	[宀日六,míng,CJK-A]
㝡	[宀耳又,zuì,CJK-A]
㝢	[宀丿口⽱,yǔ,CJK-A]
㝣	[宀丰刀大,yì,CJK-A]
㝤	[宀井王冂,gòu,CJK-A]
㝥	[宀爿米,mǐ,CJK-A]
㝦	[宀隹乃,jùn,CJK-A]
㝧	[宀女人人土,wěn,CJK-A]
㝨	[宀土口𧘇,,CJK-A]
㝩	[宀广氺,kāng,CJK-A]
㝪	[宀土丸,diàn,CJK-A]
㝫	[宀阝夂一生,lóng,CJK-A]
㝬	[宀丰口夫,,CJK-A]
㝭	[宀忄日生,xǐng,CJK-A]
㝮	[宀屮凵示又,cuì,CJK-A]
㝯	[宀丿大口冂口,qiáo,CJK-A]
㝰	[宀自穴方,mián,CJK-A]
㝱	[宀爿艹罒冖夕,mèng,CJK-A]
㝲	[宀爿卝罒冖彐冖巾,qǐn,CJK-A]
㝳	[一⺗,,CJK-A]
㝴	[二儿寸,wán,CJK-A]
㝵	[日一寸,dé_ài,CJK-A]
㝶	[罒儿寸,ài,CJK-A]
㝷	[彐工丸寸,,CJK-A]
㝸	[小白儿,biàn,CJK-A]
㝹	[小丿兔,nóu,CJK-A]
㝺	[䒑小丿,lián,CJK-A]
㝻	[廿口龶小丿,jǐn,CJK-A]
㝼	[尢一𬺰,yū,CJK-A]
㝽	[尢水,chuí,CJK-A]
㝾	[尢𠂇工,zuǒ,CJK-A]
㝿	[尢皮,bǒ,CJK-A]
㞀	[尢𠂇火,huī,CJK-A]
㞁	[尢日匕,yào,CJK-A]
㞂	[尢爫女,tuǐ_tuì,CJK-A]
㞃	[谷尤,jì,CJK-A]
㞄	[尢大日乚,ān,CJK-A]
㞅	[尢田木,luò,CJK-A]
㞆	[尢大可,jǐ,CJK-A]
㞇	[尢田一,wěi,CJK-A]
㞈	[尢户𠕁,bō,CJK-A]
㞉	[尢⺶工,zā,CJK-A]
㞊	[屮凵示尢,xù,CJK-A]
㞋	[尸又,niǎn_jí,CJK-A]
㞌	[尸子,yùn,CJK-A]
㞍	[尸丸,,CJK-A]
㞎	[尸巴,bǎ_pā,CJK-A]
㞏	[尸丿之,zhé_jié,CJK-A]
㞐	[尸立,jū,CJK-A]
㞑	[尸冫⺃,wěi,CJK-A]
㞒	[尸自,xiè_xì,CJK-A]
㞓	[尸匕日,qì_jī,CJK-A]
㞔	[尸夕夕,yí,CJK-A]
㞕	[尸八⺝,xiè,CJK-A]
㞖	[尸木冂,cí_cì,CJK-A]
㞗	[尸一氺丶,qiú,CJK-A]
㞘	[尸豕丶,dū,CJK-A]
㞙	[尸毛水,niào,CJK-A]
㞚	[尸千臼,qì_zhǎ,CJK-A]
㞛	[尸彳匕日,jǐ,CJK-A]
㞜	[尸彳禾女,tuī,CJK-A]
㞝	[戊⺊一小尸,,CJK-A]
㞞	[尸彳人人龰,sóng,CJK-A]
㞟	[尸丷酉大,diàn_dǐng,CJK-A]
㞠	[尸大丷日小,láo,CJK-A]
㞡	[尸工工工工𧘇,zhǎn,CJK-A]
㞢	[屮一,,CJK-A]
㞣	[屮八刀,,CJK-A]
㞤	[山人,yín_cén,CJK-A]
㞥	[山入,cén,CJK-A]
㞦	[山几,jǐ,CJK-A]
㞧	[山乃,huì,CJK-A]
㞨	[山子,zǐ,CJK-A]
㞩	[山几丶,lán,CJK-A]
㞪	[山,náo,CJK-A]
㞫	[山之,jù,CJK-A]
㞬	[山工,qìn,CJK-A]
㞭	[大山,dài,CJK-A]
㞮	[山⺈丶,,CJK-A]
㞯	[己山,jié,CJK-A]
㞰	[山𠂉十,xǔ,CJK-A]
㞱	[山日,cōng,CJK-A]
㞲	[山口丨,yòng,CJK-A]
㞳	[山斗,dǒu,CJK-A]
㞴	[山氏,chí_mín,CJK-A]
㞵	[山文,,CJK-A]
㞶	[山文,mǐn,CJK-A]
㞷	[屮王,huáng,CJK-A]
㞸	[山不,suì,CJK-A]
㞹	[山可,kě,CJK-A]
㞺	[山矢,zú,CJK-A]
㞻	[山口一ㄅ,hào,CJK-A]
㞼	[乛水山,chéng,CJK-A]
㞽	[山戉,xuè,CJK-A]
㞾	[山尸匕,ní,CJK-A]
㞿	[山土㐅,chì,CJK-A]
㟀	[禾山,lián,CJK-A]
㟁	[山厂干,àn,CJK-A]
㟂	[山母,mǔ,CJK-A]
㟃	[山𠃌一口,sī,CJK-A]
㟄	[山羊,xiáng,CJK-A]
㟅	[山㐅凵儿,yáng,CJK-A]
㟆	[山亻匕十,huá,CJK-A]
㟇	[山人人土,cuò_cuó,CJK-A]
㟈	[山一氺丶,qiú,CJK-A]
㟉	[山宀牛,láo,CJK-A]
㟊	[山爫子,fú,CJK-A]
㟋	[山丷口儿,duì,CJK-A]
㟌	[山龙,máng,CJK-A]
㟍	[山丶艮,láng_lǎng,CJK-A]
㟎	[山爫女,tuǒ_tuǐ,CJK-A]
㟏	[山亽ヿ口,hán,CJK-A]
㟐	[山艹亡,mǎng,CJK-A]
㟑	[山十冖子,bó,CJK-A]
㟒	[山丿口,qūn,CJK-A]
㟓	[山㐅𠂇巾,qí,CJK-A]
㟔	[山亽ヿ口,hán,CJK-A]
㟕	[山口斗,,CJK-A]
㟖	[山王廾,lòng_lóng,CJK-A]
㟗	[山八刀八刀,bīn,CJK-A]
㟘	[山⺆土口,tiáo,CJK-A]
㟙	[山龷日,zé,CJK-A]
㟚	[木支山,qí,CJK-A]
㟛	[山扌甘,zàn,CJK-A]
㟜	[山弓⺈小,mí,CJK-A]
㟝	[山立口,péi,CJK-A]
㟞	[山戈戈,zhàn,CJK-A]
㟟	[山龷八巳,xiàng,CJK-A]
㟠	[山冂䒑山,gǎng,CJK-A]
㟡	[山丷夫⺋,,CJK-A]
㟢	[山大可,qí,CJK-A]
㟣	[山木八厶,,CJK-A]
㟤	[山氺,lù,CJK-A]
㟥	[山厶大彡,,CJK-A]
㟦	[山冖車,yùn,CJK-A]
㟧	[山吅二ㄅ,è,CJK-A]
